URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,Buffet Liberty - Tôn Đức Thắng,"17 Tôn Đức Thắng, P. Bến Nghé, Q. 1",Buffet,299.000 - 599.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.706492,10.77407,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ hai,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ ba,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ tư,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ năm,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ sáu,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Thứ bảy,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,Chủ nhật,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-14-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-14-ab-normal-12066675685.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-11-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-11-ab-normal-12069125686.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-7-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-7-ab-normal-12085285687.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-3-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-3-ab-normal-12059725688.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-8-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-8-ab-normal-12086865689.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-19-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-19-ab-normal-12140115690.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,Buffet-Liberty-Central-Saigon-Riverside-ton-duc-thang-20-ab: https://pasgo.vn/Upload/anh-chi-tiet/buffet-liberty-central-saigon-riverside-ton-duc-thang-20-ab-normal-12117555691.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/con-voi-vang/1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/con-voi-vang/2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/con-voi-vang/3.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Bánh tôm chiên giòn với sốt chanh,155000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Chả cá Thái với sốt dưa leo,115000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Chả giò chay chiên giòn,95000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi hàu cay,195000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Mực chiên giòn với sốt ớt,175000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi tôm sông nướng,285000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi đu đủ với tôm sông nướng,195000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi bưởi với gà/tôm,185000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi miến với hải sản,195000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gà/Thịt heo xiên nướng kèm sốt đậu phộng,175000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi xoài xanh với cua mềm,195000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/buffet-liberty-ton-duc-thang-981,,,,,,,,,,,,,,,,,,,,,,,,Gỏi đậu xanh với tôm,185000,,Khai vị,,,,,,,,
